[-1, -1, -1, -1, 10, 3, -1, -1, 8, 9, 7, 7, 16, 3, 'E']
[-1, 12, 8, -1, 3, -1, 1, 19, -1, -1, 10, -1, -1, -1, 3]
[-1, 5, 3, 8, 4, 1, 4, -1, 5, -1, 15, 6, 6, -1, -1]
[5, -1, -1, -1, -1, 9, 2, 2, 6, 18, 3, 2, 4, -1, -1]
[-1, -1, -1, 14, -1, 6, 14, -1, -1, 11, 15, -1, -1, 2, -1]
[17, 17, 8, 4, 2, 4, -1, -1, 8, -1, 13, 7, -1, -1, -1]
[-1, -1, -1, -1, 4, -1, -1, -1, -1, 13, -1, -1, -1, -1, 9]
[-1, 6, -1, 16, 3, -1, -1, -1, 19, 8, 4, -1, 13, 9, 13]
[-1, 8, 2, 8, -1, 17, -1, 4, -1, 2, 15, -1, 7, 11, -1]
[-1, -1, -1, 5, 16, 7, -1, -1, -1, 20, 11, -1, 4, 3, -1]
[14, -1, 6, 13, 2, 12, -1, -1, -1, 15, -1, 8, -1, 12, -1]
[3, -1, -1, 8, -1, 9, 12, 17, 10, 16, 16, 19, -1, -1, 14]
[-1, 3, -1, 4, -1, -1, -1, -1, 7, 17, 2, -1, 6, 15, -1]
[2, 20, 6, 9, 1, -1, -1, 11, -1, -1, -1, -1, 4, -1, -1]
['G', -1, -1, -1, 6, -1, -1, 15, -1, 12, 7, -1, -1, -1, -1]
