[-1, -1, 14, 6, 15, -1, -1, -1, -1, 1, 2, -1, -1, 3, 'E']
[-1, 9, 12, 12, -1, -1, 10, -1, 6, 10, 8, 11, 1, 4, -1]
[-1, -1, -1, 8, 19, 19, -1, -1, 12, 11, -1, -1, 17, -1, 15]
[10, 14, 8, -1, -1, 9, -1, -1, 4, -1, -1, -1, -1, 5, 1]
[-1, -1, -1, 20, 12, -1, -1, -1, 3, -1, -1, -1, -1, 6, 5]
[18, -1, 17, -1, -1, 3, 8, 10, 18, 19, -1, -1, 2, -1, -1]
[-1, -1, -1, 6, 2, 12, -1, -1, -1, -1, -1, 17, -1, -1, 12]
[-1, 10, 2, 16, -1, -1, 18, 4, -1, -1, 15, -1, -1, -1, -1]
[19, 10, 11, -1, -1, 17, -1, 14, 13, 17, -1, -1, 3, 9, 20]
[4, 4, 13, -1, -1, -1, -1, -1, -1, 20, 7, -1, 18, 14, -1]
[-1, 5, 3, -1, -1, -1, 18, 17, -1, -1, -1, 1, -1, -1, 13]
[11, 8, -1, -1, -1, 14, -1, -1, -1, -1, -1, -1, -1, 8, -1]
[-1, 2, -1, 17, -1, -1, 3, -1, 12, 4, 18, -1, -1, 5, 1]
[3, 1, 9, -1, -1, -1, 11, -1, 17, 5, -1, -1, -1, -1, -1]
['P', 16, 17, 7, 19, -1, 16, -1, 16, -1, 16, -1, -1, -1, -1]
